ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.00102660,2001-05-03,USGS-392110107011300,Rising stage,Snowmelt,8.3,
nwisco.01.00103299,2001-05-29,USGS-09081000,Peak stage,Snowmelt,8.3,
nwisco.01.01701183,2017-03-20,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01903182,2019-09-25,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00905597,2009-09-29,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01001658,2010-04-13,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00800052,2007-10-10,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01000150,2009-10-14,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01004470,2010-08-04,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01000920,2009-12-17,USGS-09073400,"Stable, normal stage",Routine sample,8.4,
nwisco.01.99402685,1994-08-26,USGS-09085000,"Stable, low stage",Drought,8.4,
nwisco.01.00400287,2003-10-22,USGS-09081000,"Stable, low stage",Routine sample,8.4,
nwisco.01.00600392,2005-12-19,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.97502303,1975-02-18,USGS-392449107111400,Not determined,Routine sample,8.4,
nwisco.01.97603464,1976-05-18,USGS-392032107001900,Not determined,Routine sample,8.4,
nwisco.01.00200923,2001-10-10,USGS-09081000,"Stable, low stage",Routine sample,8.4,
nwisco.01.99900297,1998-10-21,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.99701138,1997-03-07,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00100705,2000-12-19,USGS-392110107011300,"Stable, low stage",Under ice cover,8.4,
nwisco.01.98002379,1980-02-21,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00100739,2001-01-02,USGS-392110107011300,"Stable, low stage",Under ice cover,8.4,
nwisco.01.98002380,1980-02-29,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.96701438,1967-03-18,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00203175,2002-05-28,USGS-09081000,Rising stage,Snowmelt,8.4,
nwisco.01.99700361,1996-11-08,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00602101,2006-07-13,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00502220,2005-06-29,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01203700,2012-07-24,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01400741,2014-02-13,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01300607,2013-01-15,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01503531,2015-08-11,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01400233,2013-11-13,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01300129,2012-10-30,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01500937,2015-03-25,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01803517,2018-09-13,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01702721,2017-07-13,USGS-09085000,"Stable, high stage",Routine sample,8.5,
nwisco.01.02000481,2019-12-19,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
